time,ACCx,ACCy,ACCz,ACCnorm,,
0.003274,0.037576,-0.183244,-0.342576,0.390318633,324,
0.008891,0.04148,-0.200568,-0.347212,0.403118203,325,
0.014596,0.04392,-0.208864,-0.349408,0.409437526,326,
0.020215,0.051484,-0.205936,-0.353556,0.412385843,327,
0.025838,0.049044,-0.193736,-0.362096,0.413584894,328,
0.031461,0.044408,-0.177388,-0.372832,0.415261692,329,
0.037088,0.039284,-0.152256,-0.369904,0.40193792,330,
0.042774,0.03538,-0.137372,-0.356972,0.384124745,331,
0.048404,0.048068,-0.120536,-0.364048,0.386484678,332,
0.054111,0.05856,-0.135176,-0.358924,0.387979719,333,
0.059754,0.055876,-0.135664,-0.36112,0.389787766,334,
0.065388,0.059292,-0.104188,-0.36478,0.383972823,335,
0.071076,0.058316,-0.088084,-0.362584,0.377659508,336,
0.076708,0.05856,-0.070516,-0.354288,0.36595323,337,
0.08242,0.06466,-0.04392,-0.345992,0.354711638,338,
0.088053,0.076372,-0.032452,-0.340868,0.350823044,339,
0.094129,0.0793,-0.020984,-0.32696,0.337092954,340,
0.100549,0.071004,-0.010492,-0.256932,0.266769006,341,
0.106116,0.065392,0.003416,-0.289628,0.296937975,342,
0.111713,0.063684,0.026596,-0.296948,0.304862451,343,
0.117331,0.058804,0.040504,-0.310368,0.318475713,344,
0.122956,0.056364,0.049288,-0.294752,0.304113382,345,
0.128483,0.03416,0.06466,-0.287188,0.29635244,346,
0.13442,0.019276,0.08052,-0.32208,0.332551591,347,
0.140064,0.013908,0.111752,-0.329156,0.347887359,348,
0.145891,0.001952,0.125172,-0.3172,0.341009794,349,
0.151557,0.005856,0.196176,-0.313052,0.369487308,350,
0.157186,0.021716,0.104676,-0.312076,0.329878886,351,
0.162874,0.047824,0.000732,-0.327692,0.331164185,352,
0.168489,0.018544,-0.035624,-0.33184,0.334261477,353,
0.174244,0.017812,-0.0549,-0.332084,0.337062398,354,
0.179883,0.03294,-0.049288,-0.330864,0.336132916,355,
0.185524,0.062708,-0.073444,-0.319884,0.334143813,356,
0.192605,0.073688,-0.081496,-0.327204,0.345157902,357,
0.198239,0.077104,-0.077836,-0.329644,0.347373914,358,
0.204501,0.070272,-0.103456,-0.3111,0.335297641,359,
0.21016,0.05978,-0.101016,-0.29036,0.313188139,360,
0.215799,0.058316,-0.087352,-0.267912,0.287763736,361,
0.221383,0.050752,-0.079056,-0.242048,0.259639849,362,
0.226937,0.04514,-0.069296,-0.235948,0.250022027,363,
0.232856,0.044408,-0.064904,-0.261568,0.273134433,364,
0.238497,0.034404,-0.050264,-0.276452,0.283082697,365,
0.244237,0.031476,-0.018544,-0.279624,0.282000354,366,
0.24987,0.001952,0.010492,-0.271572,0.27178161,367,
0.256805,0.033916,0.0366,-0.256444,0.261253479,368,
0.26246,0.023668,0.033184,-0.282308,0.285235269,369,
0.268009,0.040504,0.00732,-0.258396,0.261653682,370,
0.27387,0.027816,-0.05002,-0.2379,0.244687842,371,
0.279558,0.029036,-0.02684,-0.228872,0.232262496,372,
0.285101,0.051972,-0.030988,-0.254736,0.261823938,373,
0.290798,0.079788,-0.038064,-0.25986,0.27448536,374,
0.296423,0.102968,-0.062708,-0.24522,0.273253638,375,
0.30223,0.100772,-0.062464,-0.222284,0.251926426,376,
0.307865,0.105652,-0.055876,-0.217892,0.248518402,377,
0.313621,0.105408,-0.039528,-0.215452,0.243090258,378,
0.319272,0.111508,-0.02928,-0.245464,0.271189837,379,
0.32484,0.144692,-0.029768,-0.207644,0.254829236,380,
0.330339,0.142496,-0.021228,-0.26596,0.302473899,381,
0.335826,0.161772,-0.050508,-0.24278,0.29608,382,
0.341324,0.171532,-0.123708,-0.285968,0.355674842,383,
0.346758,0.236436,-0.068808,-0.32696,0.409315727,384,
0.352369,0.190564,-0.076616,-0.338672,0.396085058,385,
0.357871,0.182268,-0.084912,-0.355508,0.408433115,386,
0.363471,0.180804,-0.09516,-0.362584,0.416188262,387,
0.369018,0.183732,-0.080764,-0.401624,0.448978963,388,
0.374502,0.193004,-0.058316,-0.446032,0.489485286,389,
0.380057,0.204472,-0.072224,-0.488244,0.534235256,390,
0.385556,0.215208,-0.085644,-0.503128,0.553883708,391,
0.391094,0.213012,-0.090524,-0.513376,0.563137305,392,
0.396589,0.211792,-0.09272,-0.505812,0.55614623,393,
0.402154,0.201788,-0.104432,-0.493612,0.54339419,394,
0.407637,0.204472,-0.10492,-0.491416,0.542500406,395,
0.413223,0.213012,-0.11102,-0.49166,0.547201159,396,
0.418711,0.223504,-0.117608,-0.489708,0.550998734,397,
0.424286,0.231556,-0.126636,-0.485316,0.552436854,398,
0.429804,0.234484,-0.14274,-0.473604,0.547410452,399,
0.435298,0.2318,-0.15372,-0.459208,0.536873417,400,
0.440799,0.22814,-0.162504,-0.447496,0.527928101,401,
0.446284,0.229848,-0.192028,-0.43554,0.528582962,402,
0.451774,0.212768,-0.183732,-0.422608,0.507567918,403,
0.457258,0.216916,-0.199348,-0.400648,0.497303726,404,
0.462818,0.208864,-0.193736,-0.406748,0.496590116,405,
0.468307,0.209108,-0.195444,-0.40992,0.499958918,406,
0.473911,0.203984,-0.1952,-0.405772,0.494331294,407,
0.479411,0.20008,-0.206424,-0.396744,0.489947625,408,
0.484892,0.190076,-0.21716,-0.377468,0.47515202,409,
0.49039,0.186416,-0.226676,-0.364536,0.467995117,410,
0.495867,0.171776,-0.223016,-0.352092,0.450790314,411,
0.501364,0.159576,-0.21838,-0.363804,0.453329543,412,
